#,"Date Time, GMT-06:00","Avg: Temperature, °C (LGR S/N: 20826295)","Max: Temperature, °C (LGR S/N: 20826295)","Min: Temperature, °C (LGR S/N: 20826295)","Cum. Sum: Rain, mm (LGR S/N: 20826295)","Event Count: Rain, # (LGR S/N: 20826295)",Coupler Detached (LGR S/N: 20826295),Coupler Attached (LGR S/N: 20826295),Host Connected (LGR S/N: 20826295),Stopped (LGR S/N: 20826295),End Of File (LGR S/N: 20826295)
1,5/7/2021 0:00,28.706,34.691,23.869,0,1,,,,,
3,5/8/2021 0:00,26.536,32.497,20.615,0,0,,,,,
4,5/9/2021 0:00,26.493,33.535,22.142,0,0,,,,,
5,5/10/2021 0:00,24.441,30.255,21.091,1,5,,,,,
6,5/11/2021 0:00,25.935,31.574,22.717,0,0,,,,,
7,5/12/2021 0:00,25.878,32.394,22.429,0,0,,,,,
8,5/13/2021 0:00,26.356,32.188,21.473,0,0,,,,,
9,5/14/2021 0:00,26.472,31.88,23.581,0.2,1,,,,,
10,5/15/2021 0:00,27.002,32.497,21.951,0,0,,,,,
11,5/16/2021 0:00,26.522,32.704,20.615,0,0,,,,,
12,5/17/2021 0:00,27.038,33.326,22.333,0,0,,,,,
13,5/18/2021 0:00,27.029,32.911,22.717,0,0,,,,,
14,5/19/2021 0:00,27.14,33.326,22.812,0,0,,,,,
15,5/20/2021 0:00,27.977,33.743,23.869,0,0,,,,,
16,5/21/2021 0:00,27.631,33.848,23.004,0,0,,,,,
17,5/22/2021 0:00,27.003,32.6,21.855,0,0,,,,,
18,5/23/2021 0:00,27.393,33.953,23.004,0,0,,,,,
19,5/24/2021 0:00,25.832,30.76,21.855,0.4,2,,,,,
20,5/25/2021 0:00,26.327,31.064,23.004,0.6,3,,,,,
21,5/26/2021 0:00,25.547,29.752,23.004,0.2,1,,,,,
22,5/27/2021 0:00,26.601,32.188,22.238,0,0,,,,,
23,5/28/2021 0:00,27.327,33.535,22.238,0,0,,,,,
24,5/29/2021 0:00,27.422,32.807,22.908,0,0,,,,,
25,5/30/2021 0:00,27.303,33.014,22.046,0,0,,,,,
26,5/31/2021 0:00,27.041,33.222,20.519,0,0,,,,,
27,6/1/2021 0:00,27.144,33.014,22.046,0,0,,,,,
28,6/2/2021 0:00,27.501,33.43,21.473,0,0,,,,,
29,6/3/2021 0:00,27.349,32.807,23.677,0,0,,,,,
30,6/4/2021 0:00,26.241,32.6,21.378,0,0,,,,,
31,6/5/2021 0:00,27.163,33.326,20.329,0,0,,,,,
32,6/6/2021 0:00,24.775,30.457,20.996,8.2,41,,,,,
33,6/7/2021 0:00,25.427,31.778,22.429,0.6,3,,,,,
34,6/8/2021 0:00,25.43,32.6,22.525,2.8,14,,,,,
35,6/9/2021 0:00,23.335,27.37,22.238,2.6,14,,,,,
